OBS_ID,MODE,availability_AIR,availability_TRAIN,availability_BUS,availability_CAR,HINC,PSIZE,TTME_AIR,TTME_TRAIN,TTME_BUS,TTME_CAR,INVC_AIR,INVC_TRAIN,INVC_BUS,INVC_CAR,INVT_AIR,INVT_TRAIN,INVT_BUS,INVT_CAR,GC_AIR,GC_TRAIN,GC_BUS,GC_CAR
171,3,1,1,1,1,50,2,64.0,44.0,53.0,0.0,82.0,71.0,32.0,13.0,159.0,765.0,759.0,490.0,106.0,187.0,147.0,87.0
172,2,1,1,1,1,35,1,69.0,34.0,50.0,0.0,61.0,33.0,26.0,14.0,73.0,350.0,227.0,314.0,69.0,71.0,51.0,48.0
173,2,1,1,1,1,34,1,69.0,34.0,15.0,0.0,60.0,31.0,21.0,14.0,133.0,397.0,240.0,351.0,74.0,74.0,47.0,52.0
174,2,1,1,1,1,8,2,64.0,44.0,15.0,0.0,81.0,35.0,31.0,12.0,129.0,677.0,565.0,588.0,101.0,138.0,117.0,101.0
175,3,1,1,1,1,30,1,69.0,34.0,35.0,0.0,59.0,32.0,26.0,17.0,117.0,397.0,442.0,180.0,72.0,75.0,74.0,37.0
176,2,1,1,1,1,32,1,69.0,34.0,30.0,0.0,111.0,93.0,35.0,42.0,276.0,1047.0,860.0,1008.0,141.0,207.0,128.0,151.0
177,2,1,1,1,1,26,1,69.0,34.0,15.0,0.0,59.0,30.0,21.0,13.0,88.0,361.0,295.0,299.0,68.0,70.0,53.0,45.0
178,2,1,1,1,1,42,1,69.0,34.0,15.0,0.0,59.0,31.0,21.0,13.0,114.0,389.0,243.0,334.0,71.0,73.0,47.0,49.0
179,0,1,1,1,1,50,1,90.0,44.0,53.0,0.0,55.0,72.0,33.0,24.0,115.0,602.0,596.0,589.0,72.0,163.0,123.0,113.0
180,0,1,1,1,1,70,2,15.0,44.0,53.0,0.0,87.0,31.0,25.0,7.0,110.0,348.0,393.0,320.0,104.0,84.0,85.0,56.0
181,3,1,1,1,1,30,1,69.0,34.0,35.0,0.0,62.0,39.0,33.0,12.0,76.0,377.0,422.0,300.0,71.0,80.0,79.0,45.0
182,3,1,1,1,1,26,1,69.0,34.0,35.0,0.0,59.0,31.0,25.0,14.0,121.0,386.0,431.0,270.0,72.0,73.0,72.0,43.0
183,1,1,1,1,1,26,3,64.0,20.0,53.0,0.0,51.0,61.0,22.0,6.0,90.0,350.0,405.0,327.0,64.0,114.0,83.0,56.0
184,1,1,1,1,1,18,2,64.0,50.0,53.0,0.0,64.0,41.0,15.0,9.0,215.0,420.0,385.0,321.0,97.0,104.0,73.0,58.0
185,1,1,1,1,1,35,2,64.0,30.0,53.0,0.0,58.0,21.0,24.0,7.0,74.0,295.0,389.0,315.0,69.0,66.0,83.0,55.0
186,2,1,1,1,1,50,3,64.0,44.0,15.0,0.0,71.0,58.0,35.0,11.0,119.0,617.0,615.0,586.0,89.0,152.0,128.0,100.0
187,0,1,1,1,1,4,1,15.0,34.0,35.0,0.0,50.0,15.0,12.0,13.0,75.0,361.0,406.0,315.0,58.0,55.0,56.0,47.0
188,0,1,1,1,1,30,4,10.0,44.0,53.0,0.0,61.0,24.0,19.0,4.0,80.0,350.0,395.0,314.0,73.0,77.0,79.0,52.0
189,3,1,1,1,1,45,1,69.0,34.0,35.0,0.0,59.0,31.0,25.0,13.0,100.0,372.0,417.0,210.0,70.0,71.0,70.0,36.0
190,3,1,1,1,1,60,1,69.0,34.0,35.0,0.0,58.0,31.0,25.0,18.0,73.0,324.0,334.0,240.0,66.0,66.0,61.0,44.0
191,3,1,1,1,1,4,1,69.0,34.0,35.0,0.0,62.0,19.0,16.0,18.0,184.0,454.0,464.0,225.0,82.0,68.0,66.0,42.0
192,0,1,1,1,1,30,1,30.0,34.0,35.0,0.0,93.0,33.0,27.0,13.0,85.0,365.0,410.0,308.0,102.0,72.0,71.0,46.0
193,0,1,1,1,1,60,1,20.0,34.0,35.0,0.0,76.0,33.0,27.0,13.0,95.0,344.0,389.0,315.0,86.0,70.0,69.0,47.0
194,2,1,1,1,1,4,2,64.0,44.0,30.0,0.0,100.0,49.0,48.0,14.0,190.0,678.0,430.0,629.0,129.0,152.0,113.0,109.0
195,1,1,1,1,1,18,3,64.0,10.0,53.0,0.0,48.0,21.0,13.0,4.0,63.0,255.0,397.0,324.0,58.0,60.0,73.0,53.0
196,1,1,1,1,1,15,2,64.0,10.0,53.0,0.0,58.0,30.0,13.0,6.0,93.0,315.0,346.0,316.0,72.0,78.0,65.0,54.0
197,3,1,1,1,1,26,1,69.0,34.0,35.0,0.0,59.0,30.0,24.0,10.0,94.0,361.0,406.0,270.0,69.0,70.0,68.0,39.0
198,0,1,1,1,1,40,1,30.0,34.0,35.0,0.0,111.0,71.0,32.0,27.0,105.0,596.0,590.0,577.0,122.0,136.0,96.0,90.0
199,0,1,1,1,1,70,2,5.0,44.0,53.0,0.0,64.0,30.0,24.0,7.0,80.0,348.0,393.0,291.0,76.0,83.0,84.0,51.0
200,0,1,1,1,1,45,4,5.0,44.0,53.0,0.0,60.0,24.0,19.0,3.0,85.0,379.0,424.0,337.0,73.0,81.0,83.0,54.0
201,2,1,1,1,1,26,3,64.0,44.0,16.0,0.0,97.0,76.0,38.0,15.0,188.0,825.0,810.0,803.0,125.0,201.0,161.0,137.0
202,3,1,1,1,1,35,1,69.0,34.0,35.0,0.0,91.0,77.0,38.0,29.0,117.0,630.0,624.0,540.0,104.0,145.0,106.0,88.0
203,2,1,1,1,1,4,1,69.0,34.0,5.0,0.0,59.0,16.0,14.0,17.0,114.0,378.0,370.0,335.0,72.0,57.0,54.0,53.0
204,2,1,1,1,1,20,1,69.0,34.0,10.0,0.0,60.0,34.0,37.0,13.0,66.0,352.0,250.0,307.0,67.0,72.0,64.0,46.0
205,2,1,1,1,1,45,1,69.0,34.0,30.0,0.0,107.0,89.0,35.0,37.0,144.0,879.0,775.0,868.0,123.0,184.0,119.0,131.0
206,3,1,1,1,1,40,1,69.0,34.0,35.0,0.0,81.0,69.0,30.0,30.0,124.0,605.0,599.0,720.0,94.0,135.0,95.0,108.0
207,0,1,1,1,1,40,1,45.0,34.0,35.0,0.0,126.0,70.0,31.0,32.0,135.0,596.0,590.0,577.0,141.0,135.0,95.0,95.0
208,2,1,1,1,1,2,1,69.0,34.0,50.0,0.0,59.0,15.0,29.0,13.0,86.0,360.0,265.0,300.0,68.0,54.0,57.0,46.0
209,3,1,1,1,1,20,1,69.0,34.0,35.0,0.0,81.0,35.0,31.0,27.0,124.0,605.0,599.0,510.0,94.0,100.0,96.0,82.0
210,3,1,1,1,1,70,4,64.0,44.0,53.0,0.0,66.0,54.0,33.0,12.0,140.0,670.0,664.0,540.0,87.0,156.0,134.0,94.0
